SalesOrderNumber,OrderDate,CustomerName,EmailAddress,Item,Quantity,UnitPrice,TaxAmount,ProductMetadata
SO1000,2024-06-14,Jeffrey Perez,gonzalezryan@example.org,Gadget X,5,15.33,1.23,"{""color"": ""blue"", ""warranty"": ""3 years""}"
SO1001,2024-09-25,Rebekah Miller,cardenasbryan@example.com,Widget A,10,14.42,1.15,"{""color"": ""red"", ""warranty"": ""1 year""}"
SO1002,2024-08-17,Anna Hess,jasonhansen@example.com,Widget C,2,56.82,,"{""color"": ""yellow"", ""warranty"": ""3 years""}"
SO1003,2024-10-08,Joseph Hernandez,timothyfernandez@example.net,Widget B,3,35.79,2.86,"{""color"": ""red"", ""warranty"": ""2 years""}"
SO1004,2025-01-21,Emily Reed,robertdavis@example.com,Widget C,0,66.75,5.34,"{""color"": ""green"", ""warranty"": ""3 years""}"
SO1005,2025-03-03,Victoria Gonzalez,pamela73@example.com,Gadget Y,20,20.18,1.61,"{""color"": ""red"", ""warranty"": ""2 years""}"
SO1006,2024-06-04,Michael Hines,jjenkins@example.org,Gadget Y,3,81.16,6.49,"{""color"": ""blue"", ""warranty"": ""3 years""}"
SO1007,2024-10-12,Megan Rogers,ipatterson@example.com,Widget A,2,28.99,2.32,"{""color"": ""red"", ""warranty"": ""3 years""}"
SO1008,2025-02-21,Todd Johnson,collinsalyssa@example.com,Gadget Y,2,55.19,4.42,"{""color"": ""blue"", ""warranty"": ""3 years""}"
SO1009,2025-01-18,Barbara Thomas,joneal@example.net,Gadget X,0,93.65,7.49,"{""color"": ""yellow"", ""warranty"": ""3 years""}"
SO1010,2024-11-28,James Marsh,ybaker@example.org,Gadget Y,5,56.47,4.52,"{""color"": ""yellow"", ""warranty"": ""1 year""}"
SO1011,2025-01-13,James Clarke,,Widget C,1,94.3,,"{""color"": ""blue"", ""warranty"": ""2 years""}"
SO1012,2025-01-24,Cynthia Russell,scottalvarez@example.com,Widget B,20,49.3,3.94,"{""color"": ""yellow"", ""warranty"": ""1 year""}"
SO1013,2024-07-14,Renee Hunter,kaylamurray@example.com,Gadget Y,10,22.33,1.79,"{""color"": ""red"", ""warranty"": ""1 year""}"
SO1014,2024-10-20,Brittany Cline,robertgarcia@example.com,Widget B,5,70.63,5.65,"{""color"": ""yellow"", ""warranty"": ""2 years""}"
SO1015,2024-08-06,Gerald Meza,,Widget B,3,29.87,2.39,"{""color"": ""green"", ""warranty"": ""3 years""}"
SO1016,2025-02-11,Monica Ramirez,,Widget C,0,82.43,6.59,"{""color"": ""red"", ""warranty"": ""2 years""}"
SO1017,2025-01-13,Juan Welch,ugreen@example.org,Gadget X,1,50.55,4.04,"{""color"": ""red"", ""warranty"": ""1 year""}"
SO1018,2024-05-22,Scott Miller,davismichelle@example.com,Widget A,3,19.92,1.59,"{""color"": ""red"", ""warranty"": ""3 years""}"
SO1019,2025-04-10,Eric Smith,rasmussencathy@example.org,Widget A,0,47.56,3.8,"{""color"": ""green"", ""warranty"": ""2 years""}"
SO1020,2024-06-13,Jonathan Merritt,,Widget C,5,21.8,1.74,"{""color"": ""red"", ""warranty"": ""2 years""}"
SO1021,2024-11-22,Haley Bryant MD,johnsonjenna@example.com,Widget C,20,98.66,7.89,"{""color"": ""green"", ""warranty"": ""3 years""}"
SO1022,2024-05-24,Joseph Kennedy DVM,lrogers@example.net,Gadget X,2,61.08,4.89,"{""color"": ""yellow"", ""warranty"": ""1 year""}"
SO1023,2024-09-26,Tamara Brown,taylor33@example.net,Gadget Y,20,45.44,3.64,"{""color"": ""blue"", ""warranty"": ""3 years""}"
SO1024,2025-02-11,Gregory Logan,kennethprice@example.org,Widget C,2,49.22,3.94,"{""color"": ""red"", ""warranty"": ""2 years""}"
SO1025,2025-04-21,William Tucker,lbell@example.org,Widget C,10,66.6,,"{""color"": ""yellow"", ""warranty"": ""3 years""}"
SO1026,2024-08-26,Jordan Elliott,lawsonrachel@example.net,Gadget Y,3,12.86,1.03,"{""color"": ""yellow"", ""warranty"": ""2 years""}"
SO1027,2024-12-31,Diane Diaz,alyssa01@example.net,Widget B,10,74.02,5.92,"{""color"": ""green"", ""warranty"": ""1 year""}"
SO1028,2024-12-06,Lori Lara,mccarthyalexis@example.net,Widget B,5,21.38,1.71,"{""color"": ""red"", ""warranty"": ""3 years""}"
